DATETIME,R35,R35STD,BJ84,BJ84STD,SED84,SED84STD,MLM92,MLM92STD,WGW96,WGW96STD,A16,A16STD,MIN_RHYP,MAX_RHYP,NSTA
198912272324,6.01,0.80,6.57,0.78,6.69,0.37,5.63,0.29,6.17,0.27,5.45,0.28,710.50,829.50,6.00
199303220806,2.65,0.18,2.67,0.29,2.67,0.27,2.49,0.30,2.52,0.29,2.55,0.28,25.50,93.10,14.00
199305031523,1.47,0.13,1.51,0.11,1.73,0.21,1.47,0.15,1.50,0.16,1.45,0.19,9.20,43.50,3.00
199307241333,2.93,0.23,2.96,0.16,2.99,0.26,2.86,0.20,3.08,0.26,2.84,0.24,31.40,277.00,4.00
199309250240,3.18,0.36,3.21,0.28,3.17,0.27,3.05,0.22,3.20,0.25,3.04,0.27,26.10,214.80,7.00
199402010553,3.87,0.12,3.87,0.14,3.77,0.19,3.63,0.15,3.87,0.30,3.63,0.17,51.00,393.70,7.00
199405210859,2.95,0.41,3.01,0.40,2.93,0.22,2.80,0.27,3.10,0.43,2.77,0.25,14.90,364.60,10.00
199406060802,2.13,0.31,2.07,0.34,2.33,0.24,2.14,0.23,2.17,0.21,2.19,0.22,22.70,101.90,10.00
199408061103,5.17,0.43,5.19,0.54,5.27,0.58,5.08,0.27,5.35,0.40,5.00,0.23,43.00,917.40,26.00
199412260344,2.13,0.19,2.27,0.20,2.23,0.17,2.08,0.16,2.14,0.17,2.08,0.18,22.60,161.10,5.00
199501031351,2.60,0.26,2.70,0.33,2.77,0.27,2.61,0.25,2.63,0.25,2.64,0.22,16.10,94.80,10.00
199501110711,3.22,0.28,3.23,0.23,3.19,0.32,3.06,0.24,3.23,0.14,3.05,0.31,40.30,273.50,8.00
199502011021,3.14,0.22,3.17,0.20,3.10,0.21,2.98,0.18,3.22,0.19,2.96,0.23,43.40,294.50,7.00
199503260653,3.07,0.50,3.13,0.43,3.05,0.22,2.91,0.26,3.22,0.44,2.86,0.23,13.40,350.20,8.00
199505030424,3.25,0.26,3.27,0.29,3.17,0.22,3.06,0.23,3.29,0.31,3.01,0.20,54.10,449.70,19.00
199505031748,3.18,0.23,3.16,0.22,3.12,0.19,2.99,0.18,3.12,0.22,3.02,0.22,45.10,240.30,7.00
199505201129,3.60,0.23,3.62,0.21,3.62,0.25,3.49,0.25,3.64,0.31,3.50,0.26,19.90,379.50,16.00
199507291343,2.86,0.25,2.91,0.27,2.77,0.19,2.72,0.20,2.98,0.22,2.64,0.18,74.60,224.00,12.00
199507300441,3.58,0.16,3.66,0.18,3.55,0.23,3.45,0.21,3.73,0.16,3.40,0.25,20.70,376.90,12.00
199508170141,2.97,0.18,3.04,0.19,2.90,0.19,2.87,0.21,3.14,0.25,2.76,0.18,71.40,248.60,16.00
199508190901,3.19,0.24,3.26,0.27,3.07,0.26,3.02,0.26,3.32,0.31,2.91,0.23,71.40,482.90,21.00
199509121023,3.27,0.30,3.33,0.31,3.16,0.22,3.10,0.25,3.42,0.29,3.00,0.21,71.40,443.20,21.00
199510140411,3.30,0.25,3.36,0.28,3.21,0.26,3.16,0.26,3.47,0.32,3.05,0.23,71.20,483.70,22.00
199511051053,1.69,0.33,1.88,0.37,2.05,0.15,1.90,0.16,1.90,0.15,1.92,0.14,26.60,45.40,6.00
199511180932,3.61,0.28,3.66,0.29,3.60,0.25,3.52,0.27,3.82,0.30,3.47,0.26,58.90,285.60,15.00
199601161030,2.70,0.43,2.68,0.45,2.67,0.35,2.57,0.37,2.69,0.40,2.57,0.32,74.80,131.00,7.00
199602181934,3.69,0.30,3.75,0.30,3.52,0.24,3.43,0.24,3.84,0.32,3.35,0.21,81.00,430.50,17.00
199605100548,2.58,0.30,2.66,0.27,2.67,0.25,2.56,0.24,2.70,0.26,2.55,0.25,24.60,225.00,11.00
199605211008,1.73,0.25,1.80,0.22,2.02,0.27,1.83,0.25,1.84,0.26,1.85,0.24,19.40,66.50,9.00
199606060254,2.37,0.16,2.38,0.15,2.61,0.25,2.41,0.27,2.42,0.26,2.46,0.25,20.60,73.00,12.00
199608131233,2.95,0.24,3.00,0.27,2.89,0.21,2.84,0.23,3.08,0.28,2.75,0.20,56.60,252.90,21.00
199609250453,3.24,0.26,3.28,0.24,3.35,0.25,3.23,0.18,3.38,0.20,3.19,0.20,11.20,237.80,15.00
199609250749,4.99,0.47,5.06,0.56,5.17,0.59,4.84,0.21,5.18,0.40,4.74,0.18,11.80,1039.70,32.00
199609250756,2.35,0.18,2.44,0.14,2.70,0.33,2.49,0.24,2.52,0.23,2.46,0.23,12.30,107.80,6.00
199609251920,2.40,0.30,2.36,0.22,2.60,0.49,2.41,0.37,2.52,0.32,2.34,0.37,11.00,226.70,9.00
199609291652,1.82,0.31,1.94,0.30,2.29,0.35,2.01,0.30,2.04,0.31,1.97,0.28,11.10,51.90,7.00
199610011815,1.73,0.23,1.86,0.20,2.14,0.28,1.88,0.23,1.90,0.24,1.84,0.20,11.40,51.70,7.00
199610012142,3.13,0.28,3.13,0.34,3.17,0.25,2.98,0.26,3.09,0.39,3.01,0.22,23.50,396.90,21.00
199610301222,2.44,0.28,2.40,0.24,2.51,0.29,2.34,0.27,2.39,0.27,2.38,0.28,29.70,121.70,8.00
199612101254,2.86,0.32,2.91,0.30,3.01,0.29,2.85,0.29,2.87,0.35,2.87,0.26,15.20,216.30,19.00
199612101258,2.54,0.26,2.61,0.28,2.69,0.30,2.53,0.31,2.56,0.36,2.55,0.28,15.50,216.50,18.00
199612240844,2.06,0.27,2.14,nan,2.45,0.34,2.26,0.24,2.37,0.21,2.21,0.24,11.70,226.20,11.00
199612242228,3.14,0.23,3.15,0.21,3.20,0.21,3.12,0.22,3.29,0.21,3.07,0.22,44.50,344.60,12.00
199702032314,2.12,0.40,2.14,0.44,2.51,0.26,2.28,0.18,2.36,0.16,2.23,0.19,11.00,126.10,8.00
199705042233,3.03,0.29,2.99,0.28,3.14,0.16,2.96,0.15,3.04,0.18,3.00,0.17,44.10,223.30,11.00
199706270320,4.07,0.23,4.13,0.24,4.01,0.19,3.90,0.19,4.23,0.20,3.80,0.19,113.40,476.20,23.00
199708230013,3.26,0.21,3.33,0.22,3.12,0.13,3.10,0.13,3.44,0.15,3.00,0.14,166.30,233.00,14.00
199802141823,4.24,0.26,4.31,0.27,4.14,0.22,4.04,0.24,4.42,0.26,3.95,0.24,48.10,461.70,22.00
199803091241,3.43,0.16,3.50,0.17,3.35,0.14,3.28,0.18,3.64,0.13,3.18,0.17,133.30,488.10,12.00
199804040955,3.44,0.29,3.48,0.23,3.40,0.21,3.28,0.23,3.57,0.18,3.23,0.27,20.20,474.10,12.00
199807170122,4.47,0.23,4.53,0.20,4.53,0.42,4.22,0.22,4.62,0.26,4.12,0.25,24.90,778.00,24.00
199809190534,1.78,0.41,1.88,0.36,2.07,0.45,1.73,0.24,1.82,0.29,1.67,0.19,4.90,122.80,6.00
199809190548,2.20,0.34,2.27,0.31,2.37,0.37,2.12,0.22,2.22,0.25,2.08,0.20,5.40,123.30,8.00
199811072242,2.93,0.46,3.00,0.47,2.98,0.15,2.96,0.14,3.21,0.15,2.85,0.15,31.80,219.20,16.00
199901130940,3.73,0.35,3.77,0.31,3.71,0.14,3.61,0.14,3.88,0.24,3.54,0.15,16.10,406.80,14.00
199903140013,4.39,0.37,4.46,0.37,4.30,0.27,4.16,0.23,4.63,0.30,4.06,0.24,135.50,430.70,10.00
199903170158,4.53,0.59,4.67,0.73,4.92,0.56,4.45,0.29,4.84,0.48,4.35,0.24,8.00,892.50,21.00
199904161051,3.12,0.29,3.14,0.30,3.16,0.24,3.07,0.22,3.23,0.24,3.05,0.24,49.50,203.20,16.00
199904161108,2.74,0.27,2.74,0.29,2.73,0.19,2.62,0.21,2.79,0.29,2.61,0.20,50.00,364.10,17.00
199907130142,3.22,0.35,3.26,0.37,3.19,0.16,3.14,0.18,3.38,0.22,3.05,0.15,79.80,268.80,18.00
199908151320,2.15,0.14,2.11,0.14,2.28,0.14,2.11,0.17,2.16,0.20,2.18,0.16,42.30,101.80,6.00
199908191710,2.58,0.32,2.56,0.36,2.59,0.28,2.48,0.29,2.63,0.33,2.46,0.28,30.90,165.60,11.00
199909270929,2.59,0.35,2.63,0.35,2.60,0.23,2.54,0.21,2.72,0.22,2.46,0.21,52.30,166.00,11.00
199909290042,2.43,0.40,2.47,0.36,2.56,0.19,2.39,0.20,2.42,0.27,2.40,0.19,15.00,233.60,17.00
199910112024,2.23,0.28,2.21,0.30,2.25,0.18,2.13,0.19,2.24,0.23,2.14,0.19,41.40,230.60,14.00
199910180307,1.66,0.49,1.75,0.44,1.93,0.23,1.74,0.22,1.75,0.22,1.77,0.21,18.40,57.70,10.00
200003161326,3.60,0.28,3.65,0.28,3.72,0.17,3.62,0.21,3.90,0.28,3.56,0.18,36.30,411.30,16.00
200005151011,1.40,0.15,1.57,0.04,1.68,0.11,1.45,0.10,1.47,0.10,1.44,0.13,14.90,48.80,3.00
200006111840,2.66,0.28,2.65,0.29,2.65,0.25,2.53,0.25,2.66,0.28,2.54,0.25,48.20,180.40,8.00
200006221813,3.15,0.32,3.17,0.30,3.15,0.22,3.06,0.22,3.26,0.26,3.04,0.21,19.20,237.70,13.00
200007240747,2.87,0.25,2.86,0.24,2.98,0.19,2.88,0.17,3.04,0.19,2.88,0.22,40.40,281.30,10.00
200008031129,2.99,0.19,3.02,nan,3.21,0.16,3.15,0.19,3.38,0.24,3.06,0.18,16.20,264.40,11.00
200008291020,2.73,0.36,2.77,0.33,2.89,0.31,2.77,0.30,2.89,0.35,2.76,0.26,16.10,234.10,12.00
200008291205,4.62,0.46,4.70,0.52,4.78,0.37,4.44,0.28,4.87,0.34,4.34,0.27,27.10,765.10,31.00
200101051604,2.53,0.31,2.53,0.31,2.70,0.24,2.57,0.26,2.72,0.32,2.58,0.24,37.40,228.50,10.00
200108212313,3.78,0.29,3.80,0.28,3.70,0.27,3.59,0.27,3.88,0.22,3.55,0.31,62.10,355.30,18.00
200110130442,3.55,0.23,3.59,0.24,3.45,0.19,3.37,0.18,3.72,0.27,3.27,0.16,37.60,471.90,17.00
200110270758,4.71,0.40,4.82,0.46,4.70,0.38,4.42,0.19,4.86,0.29,4.34,0.20,82.80,671.40,19.00
200111230333,3.83,0.43,3.90,0.45,3.77,0.22,3.68,0.17,4.05,0.26,3.58,0.16,50.50,474.30,19.00
200202141327,3.68,0.34,3.69,0.32,3.75,0.18,3.58,0.20,3.72,0.32,3.59,0.19,13.20,379.00,12.00
200208222123,3.70,0.53,3.76,0.53,3.71,0.24,3.63,0.21,4.01,0.31,3.53,0.20,49.70,473.60,17.00
200209240742,3.89,0.29,3.94,0.33,3.86,0.28,3.70,0.27,3.94,0.33,3.68,0.25,12.50,471.80,15.00
200209241339,3.47,0.23,3.51,0.25,3.44,0.21,3.30,0.21,3.58,0.34,3.26,0.19,14.60,470.40,17.00
200312111019,4.07,0.28,4.12,0.29,4.11,0.20,3.95,0.22,4.02,0.32,3.98,0.20,20.60,324.10,17.00
200402281132,3.66,0.21,3.72,0.23,3.55,0.16,3.47,0.17,3.84,0.22,3.40,0.15,89.70,457.40,18.00
200703080234,3.80,0.28,3.79,0.30,3.79,0.23,3.68,0.23,3.86,0.29,3.67,0.22,50.30,319.20,18.00
200901120848,3.81,0.39,3.83,0.39,3.68,0.32,3.57,0.29,3.85,0.38,3.53,0.29,50.10,404.90,12.00
200903060955,4.82,0.35,4.86,0.36,4.82,0.33,4.66,0.32,4.99,0.43,4.62,0.32,43.80,464.50,17.00
200903180528,4.71,0.34,4.73,0.38,4.69,0.31,4.51,0.28,4.82,0.41,4.48,0.26,40.40,511.20,17.00
201107050132,4.89,0.33,4.93,0.37,4.75,0.29,4.47,0.18,4.96,0.34,4.40,0.15,98.40,511.50,5.00
201204191908,3.96,0.28,3.98,0.32,3.91,0.19,3.72,0.20,4.13,0.29,3.65,0.19,30.70,491.60,17.00
201206050912,3.33,0.58,3.42,0.56,3.32,0.22,3.25,0.22,3.48,0.34,3.18,0.21,30.50,256.00,4.00
201206081131,4.95,0.39,5.10,0.39,4.79,0.25,4.33,0.25,4.91,0.26,4.22,0.26,122.40,697.00,24.00
201206191053,5.60,0.39,5.64,0.49,5.55,0.37,5.35,0.26,5.76,0.39,5.28,0.24,22.90,775.00,23.00
201206220916,4.14,0.39,4.21,0.36,3.99,0.27,3.85,0.23,4.24,0.26,3.76,0.23,34.10,478.80,16.00
201207200911,4.66,0.49,4.71,0.55,4.63,0.45,4.40,0.41,4.77,0.52,4.33,0.40,14.60,478.80,17.00
201301121610,3.49,0.41,3.51,0.45,3.39,0.20,3.34,0.23,3.68,0.31,3.24,0.20,50.40,319.80,8.00
201308082323,3.35,0.15,3.37,0.07,3.44,0.12,3.34,0.11,3.64,0.23,3.28,0.10,74.70,341.80,4.00
201310072015,3.72,0.48,3.77,0.44,3.71,0.22,3.62,0.21,3.90,0.34,3.56,0.20,24.20,400.20,13.00
201310241249,3.08,0.08,3.10,0.09,3.06,0.09,2.94,0.09,3.03,0.19,2.93,0.09,28.10,181.90,5.00
201409231156,3.06,0.00,3.07,0.00,3.24,0.16,3.13,0.13,3.32,0.13,3.10,0.17,29.10,273.00,4.00
201412021634,3.58,0.14,3.55,0.15,3.56,0.26,3.40,0.23,3.71,0.26,3.38,0.22,10.20,443.20,14.00
201412031905,3.52,0.30,3.49,0.30,3.58,0.22,3.48,0.24,3.71,0.31,3.43,0.24,20.10,319.20,9.00
201502151557,5.71,0.50,5.80,0.65,5.44,0.50,5.28,0.23,5.61,0.33,5.20,0.20,45.30,738.00,9.00
201601301739,3.67,0.40,3.67,0.41,3.74,0.24,3.63,0.28,3.91,0.38,3.58,0.25,36.60,369.40,19.00
201601301749,4.11,0.00,4.18,0.00,nan,nan,nan,nan,nan,nan,nan,nan,254.40,254.40,1.00
201602100503,3.51,0.25,3.53,0.25,3.36,0.24,3.26,0.22,3.59,0.29,3.18,0.23,34.70,483.20,23.00
201604041942,3.35,0.27,3.45,0.26,3.42,0.21,3.31,0.21,3.57,0.29,3.26,0.20,21.80,366.20,18.00
201701031413,3.89,0.36,3.98,0.32,4.07,0.27,3.82,0.24,4.05,0.38,3.74,0.23,5.50,395.60,18.00
201701311940,3.62,0.27,3.67,0.24,3.68,0.18,3.57,0.18,3.87,0.27,3.52,0.17,22.90,431.70,17.00
201704131631,4.55,0.19,4.63,0.23,4.37,0.25,4.24,0.18,4.64,0.23,4.13,0.17,106.20,641.90,27.00
201709280244,2.76,0.18,2.68,0.20,3.07,0.48,2.66,0.20,2.76,0.25,2.65,0.12,4.20,88.60,3.00
