DATETIME,MLM92,MLM92STD,A16,A16STD
196810140258,6.5,0.3,,
197003101715,5.46,0.3,,
197906020948,6.13,0.3,,
198801220036,6.2,0.3,,
198801220357,6.3,0.3,,
198801221205,6.6,0.3,,
198603300853,5.74,0.3,,
198912272326,5.4,0.29,5.6,0.29
199303220806,2.49,0.3,2.62,0.29
199305031523,1.47,0.15,1.55,0.18
199307241333,2.86,0.2,2.9,0.25
199309250240,3.05,0.22,3.08,0.28
199402010553,3.63,0.15,3.67,0.16
199405210859,3.2,0.27,2.82,0.23
199406060802,2.14,0.23,2.27,0.23
199408061103,4.7,0.22,5.06,0.23
199412260344,2.08,0.16,2.15,0.19
199501031351,2.61,0.24,2.7,0.22
199501110711,3.06,0.24,3.11,0.34
199502011021,2.98,0.18,3.01,0.24
199503260653,2.91,0.26,2.9,0.21
199505030424,3.06,0.23,3.06,0.2
199505031748,2.99,0.18,3.06,0.21
199505201129,3.49,0.25,3.54,0.26
199507291343,2.72,0.19,2.66,0.18
199507300441,3.45,0.21,3.43,0.26
199508170141,2.87,0.21,2.78,0.18
199508190901,3.02,0.26,2.93,0.23
199509121023,3.1,0.25,3.03,0.2
199510140411,3.16,0.26,3.08,0.23
199511051053,1.9,0.16,2.01,0.15
199511180932,3.52,0.27,3.5,0.26
199601161030,2.59,0.35,2.64,0.32
199602181934,3.43,0.24,3.4,0.22
199605100548,2.56,0.24,2.6,0.26
199605211008,1.83,0.25,1.95,0.25
199606060254,2.41,0.27,2.54,0.25
199608131233,2.84,0.23,2.79,0.2
199609250453,3.23,0.18,3.24,0.21
199609250749,4.4,0.23,4.77,0.21
199609250756,2.49,0.24,2.55,0.25
199609251920,2.41,0.37,2.42,0.4
199609291652,2.01,0.3,2.08,0.28
199610011815,1.88,0.23,1.94,0.21
199610012142,2.98,0.26,3.08,0.22
199610301222,2.34,0.27,2.45,0.28
199612101254,2.85,0.29,2.95,0.26
199612101258,2.54,0.3,2.63,0.27
199612240844,2.26,0.24,2.29,0.27
199612242228,3.12,0.22,3.14,0.22
199702032314,2.28,0.18,2.32,0.21
199705042233,2.96,0.15,3.07,0.17
199706270320,3.9,0.2,3.85,0.19
199708230013,3.1,0.13,3.01,0.14
199802141823,3.8,0.25,3.98,0.24
199803091241,3.28,0.18,3.22,0.16
199804040955,3.28,0.23,3.28,0.25
199807170122,3.9,0.21,4.23,0.23
199809190534,1.73,0.24,1.76,0.19
199809190548,2.12,0.22,2.16,0.2
199811072242,2.96,0.14,2.85,0.16
199812310611,3.2,0.3,,
199901130940,3.61,0.14,3.58,0.15
199903140013,3.9,0.23,4.12,0.23
199903170158,4.3,0.31,4.43,0.25
199904161051,3.07,0.22,3.09,0.25
199904161108,2.62,0.21,2.65,0.2
199907130142,3.14,0.18,3.09,0.14
199908151320,2.11,0.17,2.24,0.14
199908191710,2.48,0.29,2.51,0.29
199909270929,2.54,0.21,2.5,0.22
199909290042,2.39,0.2,2.47,0.17
199910112024,2.13,0.19,2.2,0.19
199910180307,1.74,0.22,1.86,0.21
200003161326,3.5,0.21,3.63,0.18
200005151011,1.45,0.1,1.54,0.12
200006111840,2.49,0.25,2.53,0.27
200006221813,3.06,0.22,3.06,0.21
200007240747,2.88,0.17,2.92,0.21
200008031129,3.15,0.19,3.1,0.17
200008291020,2.77,0.3,2.82,0.28
200008291205,4.1,0.26,4.42,0.21
200101051604,2.57,0.26,2.62,0.24
200108212313,3.64,0.25,3.65,0.29
200110130442,3.37,0.18,3.32,0.15
200110270758,4.47,0.14,4.46,0.14
200111230333,3.68,0.17,3.62,0.16
200202141327,3.58,0.2,3.65,0.18
200208222123,3.63,0.21,3.56,0.21
200209240742,3.7,0.27,3.73,0.26
200209241339,3.3,0.21,3.31,0.18
200312111019,3.8,0.23,4.01,0.24
200402281132,3.47,0.17,3.43,0.15
200703080234,3.68,0.23,3.71,0.23
200901120848,3.57,0.29,3.57,0.3
200903060955,4.66,0.32,4.67,0.32
200903180528,4.51,0.28,4.54,0.26
201107050132,4.47,0.18,4.47,0.17
201206191053,5,0.27,5.37,0.25
201207200911,4.44,0.29,4.43,0.3
200112281631,4.22,0.3,,
199708100920,6.2,0.3,,
201004201217,4.16,0.3,,
201607080940,4.97,0.3,,
201605201814,6.1,0.3,,
201809160456,5.3,0.3,,
201811082107,5.2,0.3,,
201812161426,5.9,0.3,,
