X,Y,Chim Num
145.7117907,-36.9762055,30
145.7119139,-36.97629167,31
146.1348811,-37.308926,24
146.1368012,-37.30372477,29
146.1368687,-37.30365294,28
146.1377626,-37.30194246,2
146.1378579,-37.3020065,3
146.1389306,-37.30241111,7
146.139587,-37.30107933,32
146.1398065,-37.30115761,33
146.1401667,-37.30263056,23
146.1422538,-37.30179952,4
146.1431283,-37.30227066,5
146.143155,-37.30218797,6
146.1489836,-37.35247704,27
146.1493936,-37.35298984,1
146.1554552,-37.35785993,9
146.1555161,-37.35784928,8
146.1874694,-37.472625,21
146.187595,-37.47046,10
146.1876528,-37.47056944,22
146.1994167,-37.49741389,11
146.2492879,-37.56585301,13
146.2493359,-37.56541528,12
146.2493524,-37.56578807,14
146.2507374,-37.56748731,15
146.2536914,-37.57057706,20
146.2537845,-37.57038887,19
146.2538457,-37.57042011,18
146.2539374,-37.57096365,17
146.2540246,-37.57078776,25
146.2543477,-37.57090398,26
146.2546567,-37.57141634,16
146.5468601,-37.52803001,41
146.5484886,-37.51431922,40
146.5828389,-37.589625,39
146.6155238,-37.51702265,37
146.6155246,-37.51697012,38
146.6209465,-37.62904891,36
146.6242392,-37.62697458,34
146.6242451,-37.62705589,35
146.7103885,-38.01598649,47
146.7104115,-38.01588206,44
146.7104476,-38.01591842,46
146.7105174,-38.0159213,45
146.7105562,-38.01598636,43
146.7105627,-38.0158938,42
